example_id,search_term,campaign_context,ad_group_context,matched_keyword,location_context,metrics_context,expected_intent,expected_operation,negative_text_if_any,match_type_if_any,scope_if_any,reason,rule_ids,source,evidence_status,notes
RV-082,can a bent hood be repaired,Account name P&C AUTOMOTIVE,,auto collision repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,can a bent hood be repaired,EXACT,campaign,Hood part repair scope is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-083,can a bent subframe be fixed,Account name P&C AUTOMOTIVE,,auto body and auto repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,can a bent subframe be fixed,EXACT,campaign,Subframe part repair scope is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-084,car fabrication near me,Account name P&C AUTOMOTIVE,,auto body service,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car fabrication near me,EXACT,campaign,Fabrication and part-scope intent is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-085,car fiberglass repair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car fiberglass repair,EXACT,campaign,Component-level repair scope is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-086,car front end damage repair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car front end damage repair,EXACT,campaign,Front-end zone damage without hard crash wording is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-087,chevy stepside bed repair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,chevy stepside bed repair,EXACT,campaign,Truck bed part repair scope is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-088,corner cap repair,Account name P&C AUTOMOTIVE,,vehicle damage repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,corner cap repair,EXACT,campaign,Component repair scope is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-089,do body shops replace windshields,Account name P&C AUTOMOTIVE,,auto body collision repair shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,do body shops replace windshields,EXACT,campaign,Windshield component query is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-090,fender bender repair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,fender bender repair,EXACT,campaign,Fender part-scope minor accident repair is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-091,fix a car door,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,fix a car door,EXACT,campaign,Door part repair scope is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-092,frame repair,Account name P&C AUTOMOTIVE,,auto body repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,frame repair,EXACT,campaign,Frame part repair scope without crash wording is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-093,frame repair near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,frame repair near me,EXACT,campaign,Frame part repair scope without crash wording is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-094,car hood repaint cost,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car hood repaint cost,EXACT,campaign,Hood part repaint price query is negative,POL-PARTS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: vehicle part mentions are negative
RV-095,collision,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,collision,EXACT,campaign,Bare collision without service context is unclear intent,POL-UNCLEAR-INTENT-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: unclear work type
RV-096,service collision,Account name P&C AUTOMOTIVE,,collision center,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,service collision,EXACT,campaign,Service phrasing reads mechanical not body-shop demand,POL-UNCLEAR-INTENT-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: unclear work type
RV-097,car damage repair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car damage repair,EXACT,campaign,Generic damage repair without collision or body signal is unclear,POL-UNCLEAR-INTENT-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: unclear work type
RV-098,car estimates near me,Account name P&C AUTOMOTIVE,,auto body and auto repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car estimates near me,EXACT,campaign,Estimate price-shopper query is negative,POL-PRICE-SHOPPER-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: price shoppers are negative
RV-099,car repair estimates,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car repair estimates,EXACT,campaign,Estimate price-shopper query is negative,POL-PRICE-SHOPPER-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: price shoppers are negative
RV-100,vehicle repair estimates,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,vehicle repair estimates,EXACT,campaign,Estimate price-shopper query is negative,POL-PRICE-SHOPPER-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: price shoppers are negative
RV-101,body shop free estimate,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,body shop free estimate,EXACT,campaign,Free-estimate modifier is negative,POL-FREE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: free sample example mentions are negative
RV-102,body shop free estimate near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,body shop free estimate near me,EXACT,campaign,Free-estimate modifier is negative,POL-FREE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: free sample example mentions are negative
RV-103,body shops near me free estimates,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,body shops near me free estimates,EXACT,campaign,Free-estimates modifier is negative,POL-FREE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: free sample example mentions are negative
RV-104,body shops that give free estimates,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,body shops that give free estimates,EXACT,campaign,Free-estimates modifier is negative,POL-FREE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: free sample example mentions are negative
RV-105,free auto repair quotes near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,free auto repair quotes near me,EXACT,campaign,Free-quote query is negative,POL-FREE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: free sample example mentions are negative
RV-106,free estimates car repair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,free estimates car repair,EXACT,campaign,Free-estimates query is negative,POL-FREE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: free sample example mentions are negative
RV-107,dallas collision center reviews,Account name P&C AUTOMOTIVE,,collision center,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,dallas collision center reviews,EXACT,campaign,Reviews modifier is an automatic negative,POL-REVIEWS-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: review mentions are automatic negatives
RV-108,custom auto body shops near me,Account name P&C AUTOMOTIVE,,automobile collision repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,custom auto body shops near me,EXACT,campaign,Custom work intent not repair audience,POL-CUSTOM-FABRICATION-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: custom work not target audience
RV-109,custom body shop near me,Account name P&C AUTOMOTIVE,,auto collision and repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,custom body shop near me,EXACT,campaign,Custom work intent not repair audience,POL-CUSTOM-FABRICATION-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: custom work not target audience
RV-110,custom body shops near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,custom body shops near me,EXACT,campaign,Custom work intent not repair audience,POL-CUSTOM-FABRICATION-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: custom work not target audience
RV-111,custom body work,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,custom body work,EXACT,campaign,Custom work intent not repair audience,POL-CUSTOM-FABRICATION-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: custom work not target audience
RV-112,custom bumper fabrication near me,Account name P&C AUTOMOTIVE,,auto body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,custom bumper fabrication near me,EXACT,campaign,Custom fabrication intent not repair audience,POL-CUSTOM-FABRICATION-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: custom work not target audience
RV-113,custom paint and body shops near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,custom paint and body shops near me,EXACT,campaign,Custom work intent not repair audience,POL-CUSTOM-FABRICATION-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: custom work not target audience
RV-114,red river customs,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,red river customs,EXACT,campaign,Customs business intent not repair audience,POL-CUSTOM-FABRICATION-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: custom work not target audience
RV-115,classic chevrolet body shop,Account name P&C AUTOMOTIVE,,car auto body repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,classic chevrolet body shop,EXACT,campaign,Classic indicates older vehicles outside target audience,POL-WRONG-VEHICLE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: older vehicles not target audience
RV-116,carrustrepair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,carrustrepair,EXACT,campaign,Rust repair indicates older vehicle outside target audience,POL-WRONG-VEHICLE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: rust repairs not catered
RV-117,rusted car frame repair,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,rusted car frame repair,EXACT,campaign,Rust repair indicates older vehicle outside target audience,POL-WRONG-VEHICLE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: rust repairs not catered
RV-118,car rental in dallas texas,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car rental in dallas texas,EXACT,campaign,Rental vehicle intent is not body repair demand,POL-RENTAL-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: looking for a rental not repair
RV-119,laptop repair near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,laptop repair near me,EXACT,campaign,Device repair is non-automotive intent,POL-NON-AUTOMOTIVE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: device not vehicle repair
RV-120,pc screen repair near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,pc screen repair near me,EXACT,campaign,Device repair is non-automotive intent,POL-NON-AUTOMOTIVE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: device not vehicle repair
RV-121,carrozzeria,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,carrozzeria,EXACT,campaign,Non-English term is negative per owner foreign-language lock,POL-FOREIGN-LANGUAGE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: all foreign keywords negative
RV-122,hojalatero near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,hojalatero near me,EXACT,campaign,Spanish term is negative per owner foreign-language lock,POL-FOREIGN-LANGUAGE-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: all foreign keywords negative
RV-123,tow company in dallas,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,tow company in dallas,EXACT,campaign,Towing or roadside intent is not body repair demand,POL-TOWING-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: unclear work type could be roadside
