example_id,search_term,campaign_context,ad_group_context,matched_keyword,location_context,metrics_context,expected_intent,expected_operation,negative_text_if_any,match_type_if_any,scope_if_any,reason,rule_ids,source,evidence_status,notes
EX-065,earl scheib,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,earl scheib,EXACT,campaign,HTML walkthrough junk example,LOW_VALUE_COMPETITOR,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-066,2009 honda accord,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,2009 honda accord,EXACT,campaign,Aggressive year; docs warn FP on collision+year,YEAR_TOKEN,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-067,taller de enderezado y pintura cerca de mi,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,taller de enderezado y pintura cerca de mi,EXACT,campaign,Spanish collision vocabulary blocked,SPANISH_LANGUAGE,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-068,same day dent repair,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,same day dent repair,EXACT,campaign,HTML walkthrough junk example,SAME_DAY_OR_ONE_DAY;DENT_MINOR,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-069,sprinter van body,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,sprinter van body,EXACT,campaign,HTML walkthrough junk example,SPRINTER_VAN,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-070,fix now pay later,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,fix now pay later,EXACT,campaign,HTML walkthrough junk example,PAYMENT_OR_FINANCING,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-071,pick n pull,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,pick n pull,EXACT,campaign,HTML walkthrough junk example,SALVAGE_OR_JUNKYARD,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-072,paint and body shop near me,,,,,,UNRESOLVED,HUMAN_REVIEW,,,,Docs tell operators to search this exact negative to verify adds; contradicts body-shop keep,PAINT_MINOR,standalone allowlist guide line 123 vs owner body-work keep 2026-08-25,UNRESOLVED,
EX-073,fix auto collision,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,fix auto collision,EXACT,campaign,Competitor even with collision,LOW_VALUE_COMPETITOR,docs/Open this in a browser - Standalone Negatives Sweeper explained.html,EXISTING_CODE_RESULT,Documentation of CURRENT CODE. Not confirmed as conservative policy.
EX-074,steve's auto body,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,steve's auto body,EXACT,campaign,Docs example of possessive named shop that CAN be negatived,NAMED_LOCAL_SHOP,HTML ~547,SYNTHESIZED_FROM_EXPLICIT_RULE,Illustrative; not live traffic.
EX-075,sure shot collision,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,sure shot collision,EXACT,campaign,Docs example multi-word named shop,NAMED_LOCAL_SHOP,HTML ~547,SYNTHESIZED_FROM_EXPLICIT_RULE,Illustrative; not live traffic.
EX-076,yonkers auto body shop,,,,,,QUALIFIED,KEEP,,,,Docs geo keep,,Standalone Negatives Sweeper explained.html,SYNTHESIZED_FROM_EXPLICIT_RULE,
EX-077,places to get your car painted,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_01 SEARCH+PMAX,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,places to get your car painted,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,PAINT_MINOR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-078,car service shops near me,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_01,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car service shops near me,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-079,car ding repair near me,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_01,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car ding repair near me,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,DING_MINOR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-080,como reparar el cristal de mi auto,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_02 PMAX,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,como reparar el cristal de mi auto,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,NAMED_LOCAL_SHOP|SPANISH_LANGUAGE,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-081,wrecked car rebuild,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_02 PMAX; business intent UNRESOLVED,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,wrecked car rebuild,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,REBUILD_OR_TRUCK_BODY,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-082,best car repair shop near me,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_02,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,best car repair shop near me,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-083,auto repair mamaroneck ny,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_02,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,auto repair mamaroneck ny,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-084,car painter,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_02,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car painter,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,PAINT_MINOR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-085,central valley auto collision,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_02; may be competitor or geo UNRESOLVED,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,central valley auto collision,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,NAMED_LOCAL_SHOP,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-086,danny's auto repair,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_02 possessive repair,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,danny's auto repair,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-087,affordable car repair near me,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,affordable car repair near me,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,CHEAP|GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-088,auto repair denton texas,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,auto repair denton texas,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-089,dallas auto care,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,dallas auto care,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-090,harvey's body shop dallas,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03 possessive,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,harvey's body shop dallas,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,NAMED_LOCAL_SHOP,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-091,rebuilding cars,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,rebuilding cars,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,REBUILD_OR_TRUCK_BODY,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-092,repair shops,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,repair shops,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-093,scion xb hood latch broken,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03; mixed collision UNRESOLVED,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,scion xb hood latch broken,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,EXTERIOR_PANEL_MINOR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-094,scratch on tesla,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,scratch on tesla,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,SCRATCH_OR_KEYED,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-095,talleres de pintura automotriz cerca de mi,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,talleres de pintura automotriz cerca de mi,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,SPANISH_LANGUAGE,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-096,car repair center near me,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car repair center near me,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-097,can a rear bumper be repaired,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,can a rear bumper be repaired,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,BUMPER_MINOR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-098,cracked dashboard repair near me,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03; crack stem likely false glass,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,cracked dashboard repair near me,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,AUTO_GLASS,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-099,fix small dent in car,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03; also on miss list,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,fix small dent in car,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,DENT_MINOR|SMALL_JOB,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-100,keyed car repair,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,keyed car repair,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,SCRATCH_OR_KEYED|GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-101,toyota repair shop,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,toyota repair shop,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-102,repair key scratch on car,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_03,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,repair key scratch on car,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,SCRATCH_OR_KEYED,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-103,paint jobs car,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_04,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,paint jobs car,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,PAINT_MINOR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-104,tony car repair shop,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_04,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,tony car repair shop,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-105,galveston auto repair shops,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_04,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,galveston auto repair shops,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-106,car fixing place,Built by Shah campaigns (live 2026-08-24 email),,,ACCOUNT_04,Owner said that morning all added negatives were correct; later reversed some body-work adds not in this email list.,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,car fixing place,EXACT,campaign,Actually mutated as exact campaign negative in standalone daily run STANDALONE_NEG_20260824.,GENERIC_CAR_REPAIR,Owner-pasted Search Negatives Sweep email 2026-08-24 in conversation 0715bce9,EXISTING_CODE_RESULT,Owner later: adds were correct that day. Conservative rebuild should still re-judge EX-081 EX-085 EX-093 EX-098.
EX-107,2022 camry rear end collision,,,,,,QUALIFIED,KEEP,,,,Docs warn YEAR_TOKEN will exclude this valuable collision query. Conservative keep. Code AUTO_NEGATIVE.,YEAR_TOKEN,Hub sweeper guide Aggressive tokens line 111,UNRESOLVED,Owner previously accepted year tokens knowing this FP.
EX-108,tow truck after accident,,,,,,UNCERTAIN,HUMAN_REVIEW,,,,TOWING has no accident exception. Category UNDEFINED.,TOWING,daily 629-632,UNRESOLVED,
EX-109,choque cerca de mi,,,,,,UNCERTAIN,HUMAN_REVIEW,,,,Spanish collision word is a SPANISH_LANGUAGE trigger. Desired customer may search in Spanish.,SPANISH_LANGUAGE,daily 581-590,UNRESOLVED,
EX-110,car accident attorney near me,,,,,,UNCERTAIN,HUMAN_REVIEW,,,,Legal/attorney category UNDEFINED. No rule found.,,category scan; no attorney trigger in NEGATIVE_RULES,UNRESOLVED,
EX-111,what is collision repair,,,,,,UNCERTAIN,HUMAN_REVIEW,,,,Informational vs transactional UNDEFINED.,,category UNDEFINED,UNRESOLVED,
EX-112,bmw certified collision center,,,,,,QUALIFIED,KEEP,,,,OEM collision keep helper intended for generic certified collision without extra store name.,isOemCollisionKeepIntent_,daily 2183-2219 and header comment 77-78,SYNTHESIZED_FROM_EXPLICIT_RULE,
EX-113,custom body shop near me,,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,custom body shop near me,EXACT,campaign,suppliedTerms and Keep body work plan: custom stays junk.,CUSTOM_BODY_OR_PAINT,test suppliedTerms; plan Keep body work INFERRED custom exception,EXISTING_TEST_EXPECTATION,Owner did not explicitly re-confirm custom in A/C answers.
EX-114,range rover mechanic near me,,,,,,UNRESOLVED,HUMAN_REVIEW,,,,User pasted as examples 2026-08-21 without a keep/block label in that message.,MECHANICAL_REPAIR,Conversation 97da38e7 2026-08-21 user_query list,UNRESOLVED,
EX-115,door ding repair cost with paint,,,,,,UNRESOLVED,HUMAN_REVIEW,,,,User pasted as examples 2026-08-21 without a keep/block label in that message.,DING_MINOR;PAINT_MINOR,Conversation 97da38e7 2026-08-21 user_query list,UNRESOLVED,
EX-116,carbon fiber splitter repair,,,,,,UNRESOLVED,HUMAN_REVIEW,,,,User pasted as examples 2026-08-21 without a keep/block label in that message.,AFTERMARKET_AERO,Conversation 97da38e7 2026-08-21 user_query list,UNRESOLVED,
EX-117,como quitar golpes de granizo,,,,,,UNRESOLVED,HUMAN_REVIEW,,,,User pasted as examples 2026-08-21 without a keep/block label in that message.,SPANISH_LANGUAGE,Conversation 97da38e7 2026-08-21 user_query list,UNRESOLVED,
EX-118,stu's auto body shop,,,,,,UNRESOLVED,HUMAN_REVIEW,,,,User pasted as examples 2026-08-21 without a keep/block label in that message.,NAMED_LOCAL_SHOP,Conversation 97da38e7 2026-08-21 user_query list,UNRESOLVED,
EX-119,collision clinic,,,,,,UNRESOLVED,HUMAN_REVIEW,,,,User pasted as examples 2026-08-21 without a keep/block label in that message.,NAMED_LOCAL_SHOP,Conversation 97da38e7 2026-08-21 user_query list,UNRESOLVED,
EX-120,auto paint and body shop near me,,,,,,UNRESOLVED,HUMAN_REVIEW,,,,User pasted as examples 2026-08-21 without a keep/block label in that message.,PAINT_MINOR,Conversation 97da38e7 2026-08-21 user_query list,UNRESOLVED,
EX-121,collision appraisal,,,,,,UNRESOLVED,HUMAN_REVIEW,,,,User pasted as examples 2026-08-21 without a keep/block label in that message.,APPRAISAL_OR_ADJUSTER,Conversation 97da38e7 2026-08-21 user_query list,UNRESOLVED,
EX-122,body shop,,,,,,QUALIFIED,KEEP,,,,isGenericBodyIntent_ exact map after stripping near me / open now. Prevents NAMED_LOCAL_SHOP only; other rules can still exclude.,isGenericBodyIntent_,daily 2137-2180,EXISTING_CODE_RESULT,body work is NOT in this map.
EX-123,auto body shop,,,,,,QUALIFIED,KEEP,,,,isGenericBodyIntent_ exact map after stripping near me / open now. Prevents NAMED_LOCAL_SHOP only; other rules can still exclude.,isGenericBodyIntent_,daily 2137-2180,EXISTING_CODE_RESULT,body work is NOT in this map.
EX-124,collision repair,,,,,,QUALIFIED,KEEP,,,,isGenericBodyIntent_ exact map after stripping near me / open now. Prevents NAMED_LOCAL_SHOP only; other rules can still exclude.,isGenericBodyIntent_,daily 2137-2180,EXISTING_CODE_RESULT,body work is NOT in this map.
